timestamp,open,high,low,close,volume
2025-09-12 19:35:00,116502.99,116541.3,116502.14,116532.97,61.79928
2025-09-12 19:35:00,116502.99,116542.09,116502.14,116533.04,78.00319
2025-09-12 19:40:00,116531.96,116542.29,116531.95,116542.28,4.45407
2025-09-12 19:40:00,116531.96,116542.29,116487.12,116502.44,32.35876
2025-09-12 20:55:00,116306.66,116306.67,116296.63,116297.03,1.69846
2025-09-12 20:55:00,116306.66,116306.67,116272.62,116272.62,6.37936
2025-09-12 20:55:00,116306.66,116306.67,116191.49,116191.5,16.57378
2025-09-12 20:55:00,116306.66,116306.67,116140.04,116140.05,26.98162
2025-09-12 21:00:00,116157.34,116157.34,116151.29,116151.29,0.68004
2025-09-12 21:00:00,116157.34,116157.34,116016.0,116092.61,26.57693
2025-09-12 21:00:00,116157.34,116157.34,115977.05,115977.05,42.53091
2025-09-12 21:00:00,116157.34,116157.34,115977.05,115989.0,55.7488
2025-09-12 21:00:00,116157.34,116157.34,115964.0,115986.37,65.41026
2025-09-12 21:05:00,115958.39,115958.39,115941.17,115941.17,3.48181
2025-09-12 21:05:00,115958.39,115968.2,115915.97,115968.0,11.81353
2025-09-12 21:05:00,115958.39,115968.2,115915.97,115921.14,18.76997
2025-09-12 21:05:00,115958.39,115968.2,115909.25,115909.26,32.10571
2025-09-12 21:10:00,115913.22,115947.99,115913.22,115947.99,3.49498
2025-09-12 21:10:00,115913.22,115997.61,115913.22,115997.61,12.67927
2025-09-12 21:10:00,115913.22,116058.82,115913.22,116052.58,20.1347
2025-09-12 21:10:00,115913.22,116075.25,115913.22,116075.25,26.39189
2025-09-12 21:15:00,116089.27,116106.03,116064.15,116064.15,6.9549
2025-09-12 21:15:00,116089.27,116106.03,116053.72,116084.5,12.31459
2025-09-12 21:15:00,116089.27,116113.35,116053.72,116113.34,14.41087
2025-09-12 21:15:00,116089.27,116113.35,116053.72,116096.41,18.02201
2025-09-12 21:15:00,116089.27,116113.35,116053.72,116069.97,23.55015
2025-09-12 21:20:00,116091.02,116091.03,116020.73,116020.74,12.85262
2025-09-12 21:20:00,116091.02,116091.03,115961.78,115991.51,19.44497
2025-09-12 21:20:00,116091.02,116091.03,115961.78,116001.98,23.01773
2025-09-12 21:20:00,116091.02,116091.03,115961.78,116001.98,24.22017
2025-09-12 21:25:00,116001.98,116001.99,116001.98,116001.99,0.74387
2025-09-12 21:25:00,116001.98,116001.99,115987.0,115987.01,7.31876
2025-09-12 21:25:00,116001.98,116001.99,115987.0,115987.0,8.01574
2025-09-12 21:25:00,116001.98,116001.99,115945.13,115957.0,26.50197
2025-09-12 21:30:00,115974.39,115974.39,115974.38,115974.38,2.04763
2025-09-12 21:30:00,115974.39,115974.39,115948.4,115948.41,5.48955
2025-09-12 21:30:00,115974.39,115974.39,115948.4,115948.4,6.4692
2025-09-12 21:30:00,115974.39,115974.39,115941.16,115941.16,9.14987
2025-09-12 21:30:00,115974.39,115974.39,115922.38,115922.39,13.24249
2025-09-12 21:35:00,115928.5,115940.32,115928.5,115940.31,2.84583
2025-09-12 21:35:00,115928.5,115940.32,115928.5,115940.31,3.49038
2025-09-12 21:35:00,115928.5,115940.32,115897.44,115897.45,13.58538
2025-09-12 21:35:00,115928.5,115940.32,115897.1,115897.11,22.01934
2025-09-12 21:40:00,115897.1,115905.9,115859.18,115905.9,11.5656
2025-09-12 21:40:00,115897.1,115905.9,115859.18,115905.9,13.49205
2025-09-12 21:40:00,115897.1,115905.9,115859.18,115905.9,13.8002
2025-09-12 21:40:00,115897.1,115905.9,115859.18,115905.9,15.09562
2025-09-12 21:40:00,115897.1,115905.9,115854.99,115855.0,27.03123
2025-09-12 21:45:00,115855.0,115855.0,115752.68,115769.96,33.71897
2025-09-12 21:45:00,115855.0,115855.0,115752.68,115771.82,38.88528
